"train_filename","original_filename","original_path","screen_id","title","source","source_url","panel_count","material_or_surface","caption","original_width","original_height","processed_width","processed_height","cropped","needs_manual_review","notes","image_type","original_sha256","processed_sha256"
"T0001.jpg","additional.jpg","E:\Desktop\论文写作\屏风-文化遗产-计算机交叉-张方瑾老师\实验\data\train\S001\additional.jpg","S001","清 馮朗公 宮苑圖 屏風-Palace Scene MET DP263630.jpg","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:%E6%B8%85_%E9%A6%AE%E6%9C%97%E5%85%AC_%E5%AE%AE%E8%8B%91%E5%9C%96_%E5%B1%8F%E9%A2%A8-Palace_Scene_MET_DP263630.jpg","12","Twelve-panel folding screen; wood, painted, lacquered and with gilt","chinesetradscreen, traditional Chinese folding screen, multi-panel screen, 12-panel screen, wooden frame, lacquered surface, painted panels, overall frontal view, continuous composition, decorative panels","960","466","960","466","no","no","","scaled_800px","580fc4d6063b682052a854d077acd7ae304df5c5295771b671a6cb7a0e312bc1","5cd852e33d2fe7a92651d54d513fb0a46e86b43e5db77dff0264a6751d2c82e5"
"T0002.jpg","additional_01.jpg","E:\Desktop\论文写作\屏风-文化遗产-计算机交叉-张方瑾老师\实验\data\train\S001\additional_01.jpg","S001","Palace Scene","The Met","https://www.metmuseum.org/art/collection/search/61665","12","Twelve-panel folding screen; wood, painted, lacquered and with gilt","chinesetradscreen, traditional Chinese folding screen, multi-panel screen, 12-panel screen, wooden frame, lacquered surface, painted panels, overall frontal view, continuous composition, decorative panels","1981","962","1981","962","no","no","","additional_01","1c1f00ce90ac14b86ff1c4dfa54587ff4425cef7b0a6aa6ca99f7479ef1d41fa","a50c0c9a6f1a3504f267563850613abf900d5b327960b052ff54ad947efba4bb"
"T0003.jpg","full.jpg","E:\Desktop\论文写作\屏风-文化遗产-计算机交叉-张方瑾老师\实验\data\train\S001\full.jpg","S001","清 馮朗公 宮苑圖 屏風-Palace Scene MET DP263629.jpg","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:%E6%B8%85_%E9%A6%AE%E6%9C%97%E5%85%AC_%E5%AE%AE%E8%8B%91%E5%9C%96_%E5%B1%8F%E9%A2%A8-Palace_Scene_MET_DP263629.jpg","12","Twelve-panel folding screen; wood, painted, lacquered and with gilt","chinesetradscreen, traditional Chinese folding screen, multi-panel screen, 12-panel screen, wooden frame, lacquered surface, painted panels, overall frontal view, continuous composition, decorative panels","960","462","960","462","no","no","","scaled_800px","31129b65a32becc66993d3375e087b158fc865fb09c3e2485d91dd9b7a0855e9","ceb5ed16c1b60638b838aa20579c8954289944a4ce108b6852634f37d039417b"
"T0004.jpg","full_01.jpg","E:\Desktop\论文写作\屏风-文化遗产-计算机交叉-张方瑾老师\实验\data\train\S001\full_01.jpg","S001","Palace Scene","The Met","https://www.metmuseum.org/art/collection/search/61665","12","Twelve-panel folding screen; wood, painted, lacquered and with gilt","chinesetradscreen, traditional Chinese folding screen, multi-panel screen, 12-panel screen, wooden frame, lacquered surface, painted panels, overall frontal view, continuous composition, decorative panels","1981","954","1981","954","no","no","","full","b7867324e725f7f760b5afb2062620a493ea125e0fd126f5e6aebd3fa5e3ab04","c4414963bf3123fee7a268cd5172791cf4ad81846d9a7107dd3f3967b78f0861"
"T0005.jpg","additional_01.jpg","E:\Desktop\论文写作\屏风-文化遗产-计算机交叉-张方瑾老师\实验\data\train\S002\additional_01.jpg","S002","Screen","The Met","https://www.metmuseum.org/art/collection/search/64085","5","Five-panel folding screen; lacquer on wood, colors and gold","chinesetradscreen, traditional Chinese folding screen, multi-panel screen, 5-panel screen, wooden frame, lacquered surface, painted panels, overall frontal view, continuous composition, decorative panels","2000","1425","2000","1425","no","no","","additional_01","ba7e01d6d7434034d8e12260505b2b66bba3cf1cf1b943b858958f6d7e21a295","1f115a5214f34c2f65dcc5877be184b0a45a226b10e513345d1ddcc0d405c388"
"T0006.jpg","full.jpg","E:\Desktop\论文写作\屏风-文化遗产-计算机交叉-张方瑾老师\实验\data\train\S002\full.jpg","S002","Screen","The Met","https://www.metmuseum.org/art/collection/search/64085","5","Five-panel folding screen; lacquer on wood, colors and gold","chinesetradscreen, traditional Chinese folding screen, multi-panel screen, 5-panel screen, wooden frame, lacquered surface, painted panels, overall frontal view, continuous composition, decorative panels","2000","1486","2000","1486","no","no","","full","a428c6033fd15eb931567dead78427fa04cd303cee2bc69418b3d02517866dbb","8743e2c0d7609a979fa3775fe62200d6f42bfd051dec753e1d2fa6d87d97e3bd"
"T0007.jpg","additional_01.jpg","E:\Desktop\论文写作\屏风-文化遗产-计算机交叉-张方瑾老师\实验\data\train\S003\additional_01.jpg","S003","Complete Geographical Map of the Everlasting Unified Qing Empire","The Met","https://www.metmuseum.org/art/collection/search/911983","4","Four-panel folding screen; woodblock print; ink and color on paper","chinesetradscreen, traditional Chinese folding screen, multi-panel screen, 4-panel screen, wooden frame, woodblock-printed panels, map panels, painted panels, detail view, decorative panels","3002","4000","3002","4000","no","yes","partial view: only part of the four-panel screen is visible","additional_01","31a4f99e3e5f2d23d648fc18e3123c2e06d766fed25605a4d5fefe913a32b92e","8c6adc1d09db043ec2e299b47db0960c487800b0a56626d41a91524b027be81c"
"T0008.jpg","additional_02.jpg","E:\Desktop\论文写作\屏风-文化遗产-计算机交叉-张方瑾老师\实验\data\train\S003\additional_02.jpg","S003","Complete Geographical Map of the Everlasting Unified Qing Empire","The Met","https://www.metmuseum.org/art/collection/search/911983","4","Four-panel folding screen; woodblock print; ink and color on paper","chinesetradscreen, traditional Chinese folding screen, multi-panel screen, 4-panel screen, wooden frame, woodblock-printed panels, map panels, painted panels, detail view, decorative panels","3002","4000","3002","4000","no","yes","partial view: only part of the four-panel screen is visible","additional_02","5c8358a8377e9357323aa6fbf9dfe6d2ab5f5b8bb10ad8de7bf476f99ad62709","bd8fc25d19658070d979b37d442110539d98d2348251e7127f549fdcecf9a1ec"
"T0009.jpg","additional_03.jpg","E:\Desktop\论文写作\屏风-文化遗产-计算机交叉-张方瑾老师\实验\data\train\S003\additional_03.jpg","S003","Complete Geographical Map of the Everlasting Unified Qing Empire","The Met","https://www.metmuseum.org/art/collection/search/911983","4","Four-panel folding screen; woodblock print; ink and color on paper","chinesetradscreen, traditional Chinese folding screen, multi-panel screen, 4-panel screen, wooden frame, woodblock-printed panels, map panels, painted panels, detail view, decorative panels","3002","4000","3002","4000","no","yes","partial view: only part of the four-panel screen is visible","additional_03","51dba89219818080aabd84ac5c84e174bffeff896fa6d1e977b204faa44d3c82","0f87ded698bd5d168b80b071be6ba1396649e3d1c2d1a576268f42ad60cfb929"
"T0010.jpg","additional_04.jpg","E:\Desktop\论文写作\屏风-文化遗产-计算机交叉-张方瑾老师\实验\data\train\S003\additional_04.jpg","S003","Complete Geographical Map of the Everlasting Unified Qing Empire","The Met","https://www.metmuseum.org/art/collection/search/911983","4","Four-panel folding screen; woodblock print; ink and color on paper","chinesetradscreen, traditional Chinese folding screen, multi-panel screen, 4-panel screen, wooden frame, woodblock-printed panels, map panels, painted panels, detail view, decorative panels","3002","4000","3002","4000","no","yes","partial view: only part of the four-panel screen is visible","additional_04","2010a119b465eb2ae1d43a04065e7d811cd13e7b8673d0a13deb32042d281bb4","8eda1e3af93499b8cb9f461442821f88eefbc506bacf0c86f3ba8ce7c00b0f19"
