image_id,screen_id,record_id,source_group_id,source,source_object_id,title,image_type,license,license_class,source_url,image_url,thumbnail_url,local_file,sha256,bytes,pixel_width,pixel_height,mime,dataset_role,needs_manual_review,selected_for_training,quality_manual,notes
RIJKS_200364785_full,S030,RIJKS_200364785_full,RIJKS_200364785,Rijksmuseum,200364785,Folding Screen with Dutch ships,full,Public Domain,public_domain,https://id.rijksmuseum.nl/200364785,"https://iiif.micr.io/poNLD/full/1200,/0/default.jpg","https://iiif.micr.io/poNLD/full/400,/0/default.jpg",raw\S030\full.jpg,67d2e95d9b4c0e1a9c3ff84e5fcdc64418d7093dabf8d28abb9baadf9c4caab9,237678,,,image/jpeg,core_candidate,no,,,Official object page and Linked Art record reviewed; complete 12-panel screen made in South China.
SI_F1906_42A_L_001,S029,SI_F1906_42A_L_001,SI_F1906_42A_L,Smithsonian National Museum of Asian Art,edanmdm:fsg_F1906.42a-l,Twelve-panel screen depicting Spring Morning in the Han Palace,full,CC0,cc0,https://asia.si.edu/explore-art-culture/collections/search/edanmdm%3Afsg_F1906.42a-l/,"https://ids.si.edu/ids/iiif/FS-F1906.42a-l_001/full/1200,/0/default.jpg",https://ids.si.edu/ids/iiif/FS-F1906.42a-l_001/full/full/0/default.jpg,raw\S029\full.jpg,63fe38a31b0e4620538600aaddbb44988748fd3695d66d7dc97153ad7c3176e6,293222,36577,13387,image/jpeg,core_candidate,no,,,Official object page and IIIF manifest reviewed; complete 12-panel screen.
SI_F1906_42A_L_002,S029,SI_F1906_42A_L_002,SI_F1906_42A_L,Smithsonian National Museum of Asian Art,edanmdm:fsg_F1906.42a-l,Twelve-panel screen depicting Spring Morning in the Han Palace,additional_01,CC0,cc0,https://asia.si.edu/explore-art-culture/collections/search/edanmdm%3Afsg_F1906.42a-l/,"https://ids.si.edu/ids/iiif/FS-F1906.42a-l_002/full/1200,/0/default.jpg",https://ids.si.edu/ids/iiif/FS-F1906.42a-l_002/full/full/0/default.jpg,raw\S029\additional_01.jpg,8a1db8a5262e942bdbd5bed066490d2def5fcfb1d017de893484a916adeef9ef,295224,36577,13387,image/jpeg,core_candidate,no,,,Official object page and IIIF manifest reviewed; complete 12-panel screen.
SI_F1906_42A_L_003,S029,SI_F1906_42A_L_003,SI_F1906_42A_L,Smithsonian National Museum of Asian Art,edanmdm:fsg_F1906.42a-l,Twelve-panel screen depicting Spring Morning in the Han Palace,additional_02,CC0,cc0,https://asia.si.edu/explore-art-culture/collections/search/edanmdm%3Afsg_F1906.42a-l/,"https://ids.si.edu/ids/iiif/FS-F1906.42a-l_003x/full/1200,/0/default.jpg",https://ids.si.edu/ids/iiif/FS-F1906.42a-l_003x/full/full/0/default.jpg,raw\S029\additional_02.jpg,e668441823250095361753684cfb86c360ed690fd294adcf9e2c4061455cddf7,2702302,5839,22312,image/jpeg,core_candidate,no,,,Official object page and IIIF manifest reviewed; complete 12-panel screen.
SI_F1906_42A_L_004,S029,SI_F1906_42A_L_004,SI_F1906_42A_L,Smithsonian National Museum of Asian Art,edanmdm:fsg_F1906.42a-l,Twelve-panel screen depicting Spring Morning in the Han Palace,additional_03,CC0,cc0,https://asia.si.edu/explore-art-culture/collections/search/edanmdm%3Afsg_F1906.42a-l/,"https://ids.si.edu/ids/iiif/FS-F1906.42a-l_004x/full/1200,/0/default.jpg",https://ids.si.edu/ids/iiif/FS-F1906.42a-l_004x/full/full/0/default.jpg,raw\S029\additional_03.jpg,8e3c931c7823b25de185b30b3d55c36f955ad31effa883afb4d85bda9a819cc1,2896419,5666,22312,image/jpeg,core_candidate,no,,,Official object page and IIIF manifest reviewed; complete 12-panel screen.
MET_61665_additional_01,S001,MET_61665_additional_01,MET_61665,The Met,61665,Palace Scene,additional_01,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/61665,https://images.metmuseum.org/CRDImages/as/original/DP263630.jpg,,raw\S001\additional_01.jpg,1c1f00ce90ac14b86ff1c4dfa54587ff4425cef7b0a6aa6ca99f7479ef1d41fa,1650397,,,,core_candidate,no,,,
MET_61665_full,S001,MET_61665_full,MET_61665,The Met,61665,Palace Scene,full,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/61665,https://images.metmuseum.org/CRDImages/as/original/DP263629.jpg,,raw\S001\full_01.jpg,b7867324e725f7f760b5afb2062620a493ea125e0fd126f5e6aebd3fa5e3ab04,1680019,,,,core_candidate,no,,,
MET_64083_additional_01,S005,MET_64083_additional_01,MET_64083,The Met,64083,Folding screen with figures in a landscape,additional_01,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64083,https://images.metmuseum.org/CRDImages/as/original/13_220_80a_h-001.jpg,,raw\S005\additional_01.jpg,ea15726950da951a338a3ae8afba90ece36fbf1d4f30d2697bdd27cd0973e886,1509575,,,,auxiliary_candidate,yes,,,panel count not stated
MET_64083_full,S005,MET_64083_full,MET_64083,The Met,64083,Folding screen with figures in a landscape,full,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64083,https://images.metmuseum.org/CRDImages/as/original/DP-17911-001.jpg,,raw\S005\full.jpg,ecfe256cbe9fd1e0b7e84d78aa50030af6f4c4c00ff873d4a2d51271f45e4912,2579026,,,,auxiliary_candidate,yes,,,panel count not stated
MET_64084_additional_01,S004,MET_64084_additional_01,MET_64084,The Met,64084,Screen,additional_01,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64084,https://images.metmuseum.org/CRDImages/as/original/62_98_1_L.JPG,,raw\S004\additional_01.jpg,c387ae50495bf211a73c9eda7e41b1279803eff372d7da7a7e0389c97eb8c652,118788,,,,core_candidate,no,,,
