image_id,prompt_id,seed,prompt,negative_prompt,base_model,lora_checkpoint,lora_multiplier,width,height,steps,cfg,sampler,precision,output_file
A1_seed42,A1,42,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed42.png
A1_seed1234,A1,1234,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed1234.png
A1_seed2026,A1,2026,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed2026.png
A1_seed7,A1,7,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed7.png
A1_seed77,A1,77,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed77.png
A1_seed314,A1,314,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed314.png
A1_seed512,A1,512,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed512.png
A1_seed888,A1,888,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed888.png
A1_seed1024,A1,1024,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed1024.png
A1_seed2048,A1,2048,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed2048.png
A1_seed4096,A1,4096,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed4096.png
A1_seed6060,A1,6060,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed6060.png
A1_seed8080,A1,8080,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed8080.png
A1_seed10001,A1,10001,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed10001.png
A1_seed13579,A1,13579,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed13579.png
A1_seed22222,A1,22222,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed22222.png
A1_seed31415,A1,31415,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed31415.png
A1_seed42424,A1,42424,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed42424.png
A1_seed54321,A1,54321,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed54321.png
A1_seed65000,A1,65000,"chinesetradscreen, traditional Chinese folding screen, multi-panel screen, complete screen, wooden frame, overall frontal view, continuous composition, elegant traditional decorative design","cropped, close-up, incomplete screen, deformed structure, broken frame, duplicated structure, text, watermark, blurry, low quality",D:\AI\models\sd15\v1-5-pruned-emaonly.safetensors,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\models\chinesetradscreen_sd15_lora_v1-000009.safetensors,0.9,512,512,30,7.0,euler_a,fp16,images/A1/A1_seed65000.png
