screen_id,record_id,source_group_id,source,source_object_id,source_record_ids,title,object_type,period,period_group,date,date_begin,date_end,culture,country,material,surface_type,dimensions,panel_count_guess,panel_count_manual,museum,accession_no,license,license_class,source_url,dataset_role,needs_manual_review,include_core,candidate_score,image_count,notes
S001,MET_61665,MET_61665,The Met,61665,COM_59227297; COM_59227301; MET_61665_additional_01; MET_61665_full,Palace Scene,Screen,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",traditional_core,datable to 1689–1690,1689,1690,China,,"Twelve-panel folding screen; wood, painted, lacquered and with gilt",mixed,9 ft. 8 1/2 in. × 20 ft. 3 in. (295.9 × 617.2 cm),12,,The Metropolitan Museum of Art,09.6a–l,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/61665,core_candidate,no,yes,26,4,2 linked Commons image records; 2 linked Commons image records; 2 linked Commons image records; 2 linked Commons image records
S002,MET_64085,MET_64085,The Met,64085,MET_64085_additional_01; MET_64085_additional_02; MET_64085_additional_03; MET_64085_additional_04; MET_64085_full,Screen,Screen,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",traditional_core,1676,1676,1676,China,,"Five-panel folding screen; lacquer on wood, colors and gold",lacquer,83 x 95 in. (210.8 x 241.3 cm),5,,The Metropolitan Museum of Art,1970.103a–e,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64085,core_candidate,no,yes,26,5,
S003,MET_911983,MET_911983,The Met,911983,COM_57379603; MET_911983_additional_01; MET_911983_additional_02; MET_911983_additional_03; MET_911983_additional_04; MET_911983_full,Complete Geographical Map of the Everlasting Unified Qing Empire,Screen,"Qing dynasty (1644–1911), Jiaqing period (1796–1820)",traditional_core,18th century,1796,1820,"China, Suzhou",,Four-panel folding screen; woodblock print; ink and color on paper,mixed,Each panel: 52 3/16 × 11 13/16 in. (132.6 × 30 cm),4,,The Metropolitan Museum of Art,2025.437,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/911983,core_candidate,no,yes,26,6,1 linked Commons image records; 1 linked Commons image records; 1 linked Commons image records; 1 linked Commons image records
S030,RIJKS_200364785,RIJKS_200364785,Rijksmuseum,200364785,RIJKS_200364785_full,Folding Screen with Dutch ships,Folding screen; furniture,Qing dynasty,traditional_core,c. 1685 - c. 1700,1685,1700,Chinese,South China,Coromandel lacquer; bronze,lacquer,321 x 624 x 2 cm,12,,Rijksmuseum,BK-1959-99,Public Domain,public_domain,https://id.rijksmuseum.nl/200364785,core_candidate,no,yes,25,1,Official object page and Linked Art record reviewed; complete 12-panel screen made in South China.
S029,SI_F1906_42A_L,SI_F1906_42A_L,Smithsonian National Museum of Asian Art,edanmdm:fsg_F1906.42a-l,SI_F1906_42A_L_001; SI_F1906_42A_L_002; SI_F1906_42A_L_003; SI_F1906_42A_L_004,Twelve-panel screen depicting Spring Morning in the Han Palace,Folding screen,"Qing dynasty, Kangxi reign",traditional_core,May-June 1672,1672,1672,Chinese,China,Black lacquer on prepared wooden core; carved recesses filled with polychrome pigments and gold (kuancai),lacquer,216.5 x 50.1 x 606.5 cm,12,,National Museum of Asian Art,F1906.42a-l,CC0,cc0,https://asia.si.edu/explore-art-culture/collections/search/edanmdm%3Afsg_F1906.42a-l/,core_candidate,no,yes,25,4,Official object page and IIIF manifest reviewed; complete 12-panel screen.
S004,MET_64084,MET_64084,The Met,64084,MET_64084_additional_01; MET_64084_full,Screen,Screen,late Ming dynasty (1368–1644),traditional_core,,1368,1644,China,,Eight-panel folding screen; colors and gold on silk,unknown,72 1/2 in. × 16 ft. 8 1/2 in. (184.2 × 509.3 cm) Other (Folded): 72 1/4 in. × 25 3/4 in. × 5 in. (183.5 × 65.4 × 12.7 cm),8,,The Metropolitan Museum of Art,62.98.1,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64084,core_candidate,no,yes,24,2,
S005,MET_64083,MET_64083,The Met,64083,MET_64083_additional_01; MET_64083_full,Folding screen with figures in a landscape,Screen,Qing dynasty (1644–1911),traditional_auxiliary,19th century,1800,1899,China,,Carved talc mounted on silk,unknown,"Overall (open, curved): 65 1/2 in. × 12 ft. × 24 in. (166.4 × 365.8 × 61 cm) Each panel: 64 1/2 × 19 5/8 in. (163.8 × 49.8 cm) Each panel (image): 43 in. × 17 1/8 in. (109.2 × 43.5 cm)",,,The Metropolitan Museum of Art,13.220.80a–h,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64083,auxiliary_candidate,yes,no,22,2,panel count not stated
S006,MET_64086,MET_64086,The Met,64086,COM_160739790; COM_160739795; COM_176638606; COM_59233428; COM_59233430; COM_59233431; MET_64086_additional_01; MET_64086_additional_02; MET_64086_full,Folding screen with birthday celebration for General Guo Ziyi,Screen,Qing dynasty (1644–1911),traditional_auxiliary,19th century,1800,1899,China,,Carved red and black lacquer,lacquer,Open flat: 84 1/8 in. × 12 ft. 4 in. (213.7 × 375.9 cm) Open curved: 84 1/8 in. × 11 ft. 3 13/16 in. × 35 7/16 in. (213.7 × 345 × 90 cm),,,The Metropolitan Museum of Art,1971.74a–h,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64086,auxiliary_candidate,yes,no,22,9,panel count not stated; 6 linked Commons image records; 6 linked Commons image records; 6 linked Commons image records; 6 linked Commons image records
S012,MET_784285,MET_784285,The Met,784285,MET_784285_additional_01; MET_784285_additional_02; MET_784285_full,"Crane, pine, and rock",Screen,Qing dynasty (1644–1911),traditional_auxiliary,late 19th century,1867,1899,China,,Set of four hanging scrolls mounted on a Japanese bi-fold screen; ink and color on silk,painting,Image: 59 1/2 × 55 3/8 in. (151.1 × 140.7 cm),,,The Metropolitan Museum of Art,2018.148,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/784285,auxiliary_candidate,yes,no,17,3,panel count not stated
S009,COM_GROUP_063e06a5c9a1,COM_GROUP_063e06a5c9a1,Wikimedia Commons,61281379,COM_61281379; COM_61281380; COM_61281381; COM_61281382; COM_61281383; COM_61281384; COM_61281385; COM_61281386; COM_61281387; COM_61281389; COM_61281390; COM_61281392; COM_61281393; COM_61281394; COM_61281395,"Cina, paravento coromandel, 1690 ca, legno, lacca e carta, 02.jpg",,,traditional_auxiliary,,,,,,,lacquer,,,,,,CC BY 3.0,cc_by,"https://commons.wikimedia.org/wiki/File:Cina,_paravento_coromandel,_1690_ca,_legno,_lacca_e_carta,_02.jpg",auxiliary_candidate,yes,,,15,Auto-grouped Commons object
